,Kata
990,curiga
991,bongkar
992,mahal
993,ngibul
994,adzab
995,viral
996,begoknya
997,rekayasa
998,bingung
999,unfaedah
1000,bacot
1001,kendala
1002,berlama
1003,ngatur
1004,kongkalikong
1005,gedek
1006,enek
1007,muak
1008,krisis
1009,kisruh
1010,belah
1011,nggak
1012,koar
1013,masivenya
1014,badai
1015,sembunyi
1016,lempar
1017,dilamain
1018,komplot
1019,bego
1020,terobos
1021,syaiton
1022,makar
1023,cina
1024,imperialisme
1025,utang
1026,memboddohi
1027,bocor
1028,ngaco
1029,bloon
1030,manipulasi
1031,sandiwara
1032,tuman
1033,nyiyir
1034,maling
1035,tuding
1036,berisik
1037,ciut
1038,bajing
1039,gadungan
1040,gemblung
1041,intervensi
1042,ngancurin
1043,ngeles
1044,framing
1045,settingan
1046,norak
1047,minimal
1048,nuduh
1049,ciduk
1050,picek
1051,becus
1052,ngeributin
1053,massiv
1054,dodol
1055,wafat
1056,motherfucker
1057,buzzer
1058,jilat
1059,siluman
1060,meninggal
1061,kriminal
1062,males
1063,bobrok
1064,benalu
1065,hoaxnya
1066,korupsi
1067,nekan
1068,arogan
1069,korup
1070,ngebet
1071,dzolim
1072,jorok
1073,pecat
1074,sumpek
1075,nurunin
1076,edan
1077,bajak
1078,hacker
1079,berantakan
1080,brantakan
1081,ngebolin
1082,coret
1083,kejang
1084,ngotot
1085,gak
1086,nggak
1087,enggak
